k	lc_frac
0.100000	0.009750
0.190000	0.008950
0.280000	0.036500
0.370000	0.145900
0.460000	0.182000
0.550000	0.224300
0.600000	0.177300
0.800000	0.292200
1.000000	0.370550
1.200000	0.413900
1.400000	0.473150
1.600000	0.507300
1.800000	0.577950
2.000000	0.593850
