N	Mean Pair-Wise Distance
200	4.20774463632
300	4.42007346842
400	4.70914244282
500	4.9255203184
600	4.97222222222
700	5.08316767066
800	5.16351132392
900	5.26664727288
1000	5.34216083771
1100	5.40397760517
1200	5.42333939443
