N	Mean Pair-Wise Distance
200	3.9411356231
300	4.24192612198
400	4.42939819392
500	4.57750846492
600	4.73224354011
700	4.81994715412
800	4.92042758881
900	5.03219903171
1000	5.04482996592
1100	5.20032454375
1200	5.27133149298
