N	Mean Pair-Wise Distance
200	3.9884621548
300	4.31027837756
400	4.48269751082
500	4.61291641816
600	4.7609235367
700	4.83721971742
800	4.90149132933
900	5.00970251716
1000	5.13522283001
1100	5.17891154349
1200	5.22113328319
